,Company Name,Overview,Rating,Highly Rated For,Critically Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos
131,BNY Mellon,Investment Banking / Venture Capital / Private Equity | 10k-50k Employees | Forbes Global 2000 | 20 years old | New York City +16 more,4.1,"Company Culture, Work Life Balance, Salary & Benefits",,3.5k,28.6k,215,264,554,1
132,Schneider Electric,Industrial Automation | 10k-50k Employees | Forbes Global 2000 | 25 years old | Paris +116 more,4.2,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,3.5k,20.9k,219,50,485,6
133,L&T Technology Services,IT Services & Consulting | 10k-50k Employees | Public | 12 years old | Vadodara/Baroda +48 more,3.4,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.5k,32.3k,317,--,461,5
134,Hyundai Motor,Automobile | 10k-50k Employees | Fortune India 500 | 57 years old | Seoul +264 more,4.4,"Job Security, Salary & Benefits, Skill Development / Learning",,3.4k,13.1k,186,3,569,14
135,Amdocs,Software Product | 10k-50k Employees | Forbes Global 2000 | 42 years old | Chesterfield +15 more,4.0,"Company Culture, Job Security, Salary & Benefits",,3.4k,35.2k,354,7,685,20
136,Oyo Rooms,Hospitality | 1k-5k Employees | Indian Unicorn | 11 years old | Gurgaon +117 more,3.4,,"Job Security, Promotions / Appraisal, Work Satisfaction",3.4k,25.1k,166,196,393,13
137,State Bank of India,Banking | 1 Lakh+ Employees | Fortune India 500 | 218 years old | Mumbai +484 more,3.8,Job Security,"Work Life Balance, Company Culture, Work Satisfaction",3.4k,10.2k,171,187,407,1
138,CBRE,Real Estate | 10k-50k Employees | Forbes Global 2000 | 118 years old | Los Angeles +75 more,4.3,"Skill Development / Learning, Company Culture, Job Security",,3.4k,15.8k,165,144,482,11
139,JBM Group,Auto Components | 1k-5k Employees | Public | 41 years old | Gurgaon/Gurugram +87 more,4.0,"Job Security, Skill Development / Learning",,3.4k,13.2k,188,1,393,13
140,Swiggy,Internet | 5k-10k Employees | Indian Unicorn | 10 years old | Bangalore +182 more,3.9,,"Job Security, Promotions / Appraisal",3.4k,19.3k,275,383,365,13
141,BT Group,Telecom | 10k-50k Employees | Forbes Global 2000 | 178 years old | London +18 more,4.1,"Job Security, Work Life Balance, Company Culture",,3.3k,10.9k,104,23,312,--
142,Ecom Express,Logistics | 10k-50k Employees | 12 years old | Gurgaon +625 more,4.1,"Skill Development / Learning, Work Life Balance, Company Culture",,3.3k,8.5k,144,71,335,13
143,SBI Life Insurance Company,Insurance | 10k-50k Employees | 23 years old | Mumbai +523 more,3.9,Job Security,Promotions / Appraisal,3.3k,10.8k,162,7,334,4
144,Optum,Healthcare | 10k-50k Employees | 47 years old | Prairie +28 more,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.3k,25.5k,276,19,569,4
145,Dell,Consumer Electronics & Appliances | 10k-50k Employees | Forbes Global 2000 | 40 years old | Round Rock +101 more,4.2,"Company Culture, Work Life Balance, Skill Development / Learning",,3.3k,27.1k,251,57,565,24
146,Nagarjuna Construction Company,Engineering & Construction | 5k-10k Employees | Public | 26 years old | Hyderabad/Secunderabad +225 more,4.2,"Job Security, Company Culture, Skill Development / Learning",,3.2k,10.1k,214,--,417,6
147,Bajaj Auto,Automobile | 5k-10k Employees | Public | 79 years old | Pune +252 more,3.9,,Promotions / Appraisal,3.2k,13.1k,197,12,562,21
148,KEC International,Engineering & Construction | 5k-10k Employees | Public | 79 years old | Mumbai +267 more,4.1,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,3.2k,11k,209,9,453,14
149,Future Group,Retail | 10k-50k Employees | Conglomerate | 11 years old | Mumbai +202 more,4.3,"Skill Development / Learning, Company Culture, Work Life Balance",,3.2k,11.5k,67,16,421,3
150,Piramal Capital Housing Finance,NBFC | 1k-5k Employees | 4 years old | Mumbai +329 more,4.2,"Company Culture, Skill Development / Learning, Work Life Balance",,3.2k,9.3k,137,26,270,18
151,Aditya Birla Fashion and Retail,Fashion & Textile | 10k-50k Employees | Fortune India 500 | 9 years old | Mumbai +227 more,4.2,"Job Security, Skill Development / Learning, Company Culture",,3.2k,11.7k,123,53,428,13
152,Muthoot Fincorp,NBFC | 10k-50k Employees | Conglomerate | 137 years old | Trivandrum/Thiruvananthapuram +538 more,4.1,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",3.1k,8k,100,49,282,6
153,Royal Enfield,Automobile | 5k-10k Employees | 123 years old | Gurgaon/Gurugram +304 more,4.3,"Skill Development / Learning, Company Culture, Work Satisfaction",,3.1k,13.5k,108,17,416,23
154,L&T Finance,NBFC | 10k-50k Employees | Public | 30 years old | Mumbai +476 more,4.0,"Salary & Benefits, Skill Development / Learning",,3.1k,11k,89,--,270,19
155,Viatris,Pharma | 10k-50k Employees | Forbes Global 2000 | 4 years old | Canonsburg +70 more,4.3,"Salary & Benefits, Job Security, Work Life Balance",,3k,14.5k,101,8,529,11
156,Tata Communications,Telecom | 5k-10k Employees | Public | 38 years old | Mumbai +90 more,4.2,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,3k,22.5k,186,326,435,11
157,Samvardhana Motherson Group,Auto Components | 1k-5k Employees | Public | 38 years old | Noida +79 more,3.8,Job Security,,3k,13.4k,164,3,415,--
158,LG Electronics,Consumer Electronics & Appliances | 1k-5k Employees | Public | 66 years old | Seoul +248 more,4.1,"Job Security, Skill Development / Learning, Salary & Benefits",,3k,9.9k,147,6,417,7
159,Intas Pharmaceuticals,Pharma | 10k-50k Employees | Fortune India 500 | 24 years old | Ahmedabad +114 more,4.2,"Job Security, Work Life Balance, Salary & Benefits",,3k,14.9k,147,58,407,9
160,Varun Beverages,Beverage | 5k-10k Employees | Public | 29 years old | Gurgaon/Gurugram +281 more,4.1,"Job Security, Salary & Benefits",Promotions / Appraisal,3k,9.6k,155,46,330,15
161,Kogta Financial India Limited,NBFC | 1k-5k Employees | Public | 28 years old | Jaipur +206 more,4.8,"Company Culture, Work Life Balance, Work Satisfaction",,3k,1.3k,67,17,51,25
162,John Deere,Industrial Machinery | 5k-10k Employees | Fortune India 500 | 23 years old | Moline +121 more,4.3,"Company Culture, Skill Development / Learning, Work Life Balance",,3k,14k,158,9,432,11
163,Persistent Systems,IT Services & Consulting | 10k-50k Employees | Public | 34 years old | Pune +33 more,3.8,Company Culture,Promotions / Appraisal,2.9k,32.4k,330,1k,407,18
164,Godrej & Boyce Manufacturing,Engineering & Construction | 10k-50k Employees | Fortune India 500 | 127 years old | Mumbai +130 more,3.9,Job Security,Promotions / Appraisal,2.9k,16.2k,128,46,430,1
165,Randstad,Recruitment | 5k-10k Employees | Conglomerate | 32 years old | Chennai +260 more,3.9,,"Promotions / Appraisal, Job Security",2.9k,13.3k,180,2.4k,342,2
166,Thermax Limited,Industrial Machinery | 1k-5k Employees | Public | 58 years old | Pune +179 more,4.2,"Job Security, Company Culture, Skill Development / Learning",,2.9k,11.9k,167,61,387,9
167,Hetero Drugs,Pharma | 1k-5k Employees | 31 years old | Hyderabad/Secunderabad +45 more,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits",2.9k,13.6k,152,29,343,3
168,Macleods Pharmaceuticals,Pharma | 10k-50k Employees | Public | 38 years old | Mumbai +98 more,3.8,Job Security,Promotions / Appraisal,2.9k,13.9k,129,--,370,--
169,Havells,Electrical Equipment | 5k-10k Employees | Public | 41 years old | Noida +180 more,4.1,"Work Life Balance, Salary & Benefits, Company Culture",,2.9k,11.9k,132,133,333,4
170,Deutsche Bank,Banking | 10k-50k Employees | Fortune India 500 | 154 years old | Frankfurt +38 more,4.1,"Job Security, Work Life Balance, Company Culture",,2.9k,31.2k,228,549,416,79
171,CARS24 ,Internet | 5k-10k Employees | Indian Unicorn | 9 years old | Gurgaon +150 more,3.7,,"Job Security, Promotions / Appraisal, Work Satisfaction",2.8k,12.1k,216,304,426,10
172,Team Lease,Recruitment | 1k-5k Employees | Public | 8 years old | Bangalore/Bengaluru +303 more,4.0,,Promotions / Appraisal,2.8k,14k,140,172,225,2
173,Sodexo,Facility Management Services | 10k-50k Employees | Forbes Global 2000 | 16 years old | Issy les Moulineaux +131 more,4.1,"Company Culture, Skill Development / Learning, Work Life Balance",,2.8k,9.5k,109,121,384,7
174,Subros,Auto Components | 1k-5k Employees | Public | 39 years old | Noida +57 more,4.0,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal",2.8k,12k,112,--,415,6
175,Abbott,Pharma | 10k-50k Employees | Public | 33 years old | Illinois City +171 more,4.1,"Company Culture, Salary & Benefits, Work Life Balance",Promotions / Appraisal,2.8k,10.8k,106,119,384,8
176,VE Commercial Vehicles,Automobile | 1k-5k Employees | 16 years old | Gurgaon/Gurugram +127 more,4.0,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,2.8k,12.6k,149,4,375,5
177,Whitehat jr,EdTech | 5k-10k Employees | Startup | 6 years old | Mumbai +50 more,3.5,,"Job Security, Promotions / Appraisal, Work Life Balance",2.8k,9.6k,287,514,973,3
178,Indian Oil Corporation,Oil & Gas | 10k-50k Employees | Fortune India 500 | 65 years old | Delhi/NCR +251 more,4.5,"Company Culture, Work Life Balance, Skill Development / Learning",,2.8k,7.4k,204,--,312,16
179,Ford Motor,Automobile | 5k-10k Employees | Public | 121 years old | Dearborn +112 more,4.5,"Company Culture, Work Life Balance, Salary & Benefits",,2.8k,14.3k,88,122,398,11
180,Tata Capital,NBFC | 5k-10k Employees | Fortune India 500 | 17 years old | Mumbai +229 more,4.2,"Job Security, Company Culture, Skill Development / Learning",,2.7k,9.3k,107,1.1k,108,23
181,Automatic Data Processing (ADP),Software Product | 1k-5k Employees | Forbes Global 2000 | 75 years old | New Jersey +25 more,4.1,"Job Security, Company Culture, Work Life Balance",,2.7k,20.4k,152,32,--,13
182,Bharat Electronics,Electronics Manufacturing | 5k-10k Employees | Fortune India 500 | 70 years old | Bangalore/Bengaluru +51 more,4.2,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,2.7k,11.4k,152,--,--,1
183,Cummins,Industrial Machinery | 1k-5k Employees | Fortune India 500 | 62 years old | Columbus +83 more,4.4,"Company Culture, Work Life Balance, Skill Development / Learning",,2.7k,15k,151,23,--,11
184,Access Healthcare,IT Services & Consulting | 5k-10k Employees | 13 years old | Dallas +30 more,4.0,"Job Security, Company Culture",,2.7k,18k,140,80,--,37
185,American Express,Financial Services | 10k-50k Employees | Forbes Global 2000 | 174 years old | New York City +44 more,4.3,"Company Culture, Work Life Balance, Job Security",,2.7k,20.9k,216,173,--,5
186,Alembic Pharmaceuticals,Pharma | 10k-50k Employees | Public | 117 years old | Vadodara/Baroda +150 more,4.0,"Salary & Benefits, Work Life Balance",,2.7k,13.6k,158,42,400,9
187,R1 RCM,Healthcare | 5k-10k Employees | 17 years old | Murray +32 more,4.0,"Job Security, Company Culture, Work Life Balance",,2.7k,16.2k,190,59,--,18
188,Pidilite Industries,Chemicals | 5k-10k Employees | Public | 65 years old | Mumbai +236 more,4.4,"Job Security, Company Culture, Work Life Balance",,2.7k,9.5k,137,42,370,1
189,ITC Infotech ,IT Services & Consulting | 10k-50k Employees | 24 years old | Bangalore/Bengaluru +52 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",2.7k,27.5k,216,569,298,10
190,UnitedHealth,Healthcare | 10k-50k Employees | Forbes Global 2000 | 47 years old | Minnetonka +16 more,4.1,"Job Security, Work Life Balance, Company Culture",,2.7k,21.9k,68,10,--,--
191,Hindalco Industries,Metals & Mining | 10k-50k Employees | Public | 66 years old | Mumbai +86 more,4.3,"Job Security, Skill Development / Learning, Company Culture",,2.6k,9.9k,145,--,--,4
192,Tata AIA Life Insurance,Insurance | 10k-50k Employees | 23 years old | Mumbai +324 more,4.1,"Job Security, Salary & Benefits, Skill Development / Learning",,2.6k,11.7k,126,1,309,15
193,Alkem Laboratories,Pharma | 10k-50k Employees | Public | 51 years old | Mumbai +161 more,4.0,,,2.6k,9k,117,13,--,--
194, Publicis Sapient,IT Services & Consulting | 10k-50k Employees | 34 years old | New York +26 more,3.6,,"Promotions / Appraisal, Job Security, Work Satisfaction",2.6k,27.7k,328,204,413,16
195,Atos,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 27 years old | Vilnius +41 more,3.8,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",2.6k,27.6k,197,6,--,9
196,Aakash Educational Services,EdTech | 5k-10k Employees | 36 years old | New Delhi +203 more,3.6,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",2.6k,11.2k,207,121,--,9
197,DCB Bank,Banking | 5k-10k Employees | Fortune India 500 | 94 years old | Mumbai +304 more,3.9,"Job Security, Work Life Balance, Company Culture",,2.6k,8.9k,131,54,--,9
198,Utkarsh Small Finance Bank,Banking | 10k-50k Employees | Public | 15 years old | Varanasi +296 more,3.9,Job Security,,2.6k,8.7k,157,15,--,17
199,Indian Air Force,Defence & Aerospace | 1 Lakh+ Employees | 92 years old | New Delhi +111 more,4.7,"Job Security, Skill Development / Learning, Salary & Benefits",,2.6k,5.1k,37,--,376,1
200,Hindustan Coca Cola Beverages,Beverage | 5k-10k Employees | 27 years old | Bangalore +218 more,4.3,"Skill Development / Learning, Job Security, Salary & Benefits",,2.6k,7.1k,94,75,389,1
201,Vishal Mega Mart,Retail | 10k-50k Employees | 16 years old | Gurgaon/Gurugram +318 more,3.8,Salary & Benefits,"Company Culture, Work Satisfaction, Job Security",2.6k,6.6k,120,7,275,5
202,Glenmark Pharmaceuticals,Pharma | 10k-50k Employees | Public | 47 years old | Mumbai +140 more,4.0,"Job Security, Skill Development / Learning, Salary & Benefits",,2.6k,11.2k,95,49,331,--
203,Barclays,Banking | 10k-50k Employees | Forbes Global 2000 | 334 years old | London +31 more,4.0,"Job Security, Company Culture, Salary & Benefits",,2.6k,23k,143,43,285,20
204,Berger Paints,Chemicals | 1k-5k Employees | Public | 101 years old | Kolkata +247 more,3.8,Job Security,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",2.5k,8.4k,198,46,288,5
205,Marpu Foundation ,Non-Profit | 51-200 Employees | 8 years old | Hyderabad/Secunderabad +54 more,4.9,"Company Culture, Skill Development / Learning, Work Life Balance",,2.5k,16,25,--,88,2
206,Ipca Laboratories,Pharma | 10k-50k Employees | Public | 75 years old | Mumbai +125 more,4.0,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",2.5k,10.9k,119,38,266,3
207,Jindal Steel and Power,Iron & Steel | 5k-10k Employees | Fortune India 500 | 45 years old | Delhi/NCR +117 more,4.0,"Skill Development / Learning, Job Security",Promotions / Appraisal,2.5k,12.7k,211,23,330,11
208,Maersk,Logistics | 10k-50k Employees | 120 years old | Copenhagen +35 more,4.3,"Company Culture, Work Life Balance, Job Security",,2.5k,16.5k,113,118,447,26
209,Bank of America,Banking | 10k-50k Employees | Fortune India 500 | 26 years old | Charlotte +30 more,4.4,"Job Security, Work Life Balance, Company Culture",,2.5k,24.8k,154,1,433,--
210,DTDC Express,Logistics | 1k-5k Employees | 34 years old | Bangalore/Bengaluru +228 more,3.9,,"Promotions / Appraisal, Salary & Benefits",2.5k,7.9k,101,83,269,1
211,ABB Group,Industrial Automation | 1k-5k Employees | Public | 36 years old | Zurich +96 more,4.1,"Job Security, Company Culture, Work Life Balance",,2.5k,15.5k,130,--,359,8
212,Aarti Industries,Agro Chemicals | 5k-10k Employees | Public | 49 years old | Mumbai +43 more,4.2,"Job Security, Work Life Balance, Skill Development / Learning",,2.5k,12.6k,221,41,386,2
213,24/7 Customer,BPO | 5k-10k Employees | 24 years old | San Jose +25 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.5k,13.3k,152,32,440,5
214,Wipro Infotech,IT Services & Consulting | 1 Lakh+ Employees (Global) | MNC | 79 years old | Bangalore +117 more,4.0,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,2.5k,17.7k,120,--,299,--
215,Honda Motorcycle & Scooter ,Automobile | 10k-50k Employees | 25 years old | Gurgaon/Gurugram +213 more,4.2,"Job Security, Company Culture, Work Life Balance",,2.5k,10.9k,107,--,372,4
216,Johnson Controls,Industrial Automation | 5k-10k Employees | Public | 139 years old | Cork +48 more,3.7,,Promotions / Appraisal,2.5k,14.3k,177,33,301,25
217,HDFC Ergo General Insurance,Insurance | 10k-50k Employees | Public | 22 years old | Mumbai +232 more,4.1,"Job Security, Company Culture, Work Life Balance",,2.5k,9.8k,97,6,279,1
218,Carelon Global Solutions,IT Services & Consulting | 10k-50k Employees | Hyderabad / Secunderabad +12 more,4.0,"Job Security, Salary & Benefits, Company Culture",,2.5k,22.6k,263,22,50,6
219,NatWest Group,Banking | 10k-50k Employees | Forbes Global 2000 | Gurgaon / Gurugram +22 more,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,2.5k,20.6k,127,12,378,8
220,CMS IT Services,IT Services & Consulting | 5k-10k Employees | Startup | 10 years old | Bangalore +137 more,3.1,,"Promotions / Appraisal, Salary & Benefits, Company Culture",2.5k,11k,91,21,196,3
221,PolicyBazaar,Internet | 10k-50k Employees | Public | 16 years old | Gurgaon +87 more,3.5,,"Work Life Balance, Promotions / Appraisal, Company Culture",2.4k,12.8k,186,91,241,11
222,Cogent E Services,BPO | 10k-50k Employees | Conglomerate | 20 years old | Noida +36 more,3.4,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",2.4k,8.3k,174,2,232,4
223,Reliance Nippon Life Insurance,Insurance | 10k-50k Employees | 24 years old | Mumbai +431 more,3.9,,,2.4k,8.4k,100,3,235,2
224,MRF Tyres,Auto Components | 10k-50k Employees | Public | 78 years old | Chennai +163 more,3.8,Job Security,"Company Culture, Work Satisfaction, Work Life Balance",2.4k,10.9k,219,21,377,6
225,RBL Bank,Banking | 10k-50k Employees | Public | 81 years old | Mumbai +223 more,3.8,,Promotions / Appraisal,2.4k,15.8k,126,88,225,5
226,Paras Hospital,Healthcare | 1k-5k Employees | 18 years old | Gurgaon/Gurugram +47 more,4.6,"Skill Development / Learning, Company Culture, Work Life Balance",,2.4k,2.6k,56,46,154,41
227,Reliance Digital,Retail | 5k-10k Employees | 17 years old | Mumbai +308 more,4.3,"Job Security, Skill Development / Learning, Company Culture",,2.4k,7.3k,76,2,278,12
228,PNB MetLife,Insurance | 5k-10k Employees | Conglomerate | 23 years old | Mumbai +324 more,3.5,,"Job Security, Work Satisfaction, Promotions / Appraisal",2.4k,7.9k,110,733,230,11
229, Wipro Consumer Care & Lighting,FMCG | 1k-5k Employees | 79 years old | Bangalore/Bengaluru +94 more,3.9,Job Security,Promotions / Appraisal,2.4k,3k,41,32,286,1
230,Jubilant Foods Works,Hospitality | 10k-50k Employees | Public | 29 years old | Noida +197 more,3.9,"Skill Development / Learning, Salary & Benefits",,2.4k,7.3k,109,108,188,8
231,GeBBS Healthcare Solutions,BPO | 5k-10k Employees | 19 years old | Culver City +18 more,3.7,Job Security,"Promotions / Appraisal, Salary & Benefits",2.4k,10.4k,108,114,304,7
232,Escorts Kubota Limited,Automobile | 1k-5k Employees | Public | 64 years old | Faridabad +136 more,4.1,"Skill Development / Learning, Company Culture, Work Life Balance",,2.4k,10.5k,143,--,269,14
233,Ceat Tyres,Auto Components | 5k-10k Employees | Public | 66 years old | Mumbai +114 more,4.1,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,2.4k,11.4k,117,1,366,4
234,Kotak Mahindara Life Insurance,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +210 more,3.9,Job Security,,2.4k,11k,151,180,273,--
235,Dabur,FMCG | 5k-10k Employees | Public | 140 years old | Ghaziabad +250 more,3.9,,Promotions / Appraisal,2.4k,7.7k,152,16,281,3
236,Axis Direct,Financial Services | 1k-5k Employees | 13 years old | San Mateo +271 more,3.9,,Promotions / Appraisal,2.4k,6.8k,61,39,227,--
237,Conduent,BPO | 5k-10k Employees | 7 years old | Florham Park +21 more,3.6,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",2.4k,19.1k,127,77,386,10
238,JK Cement,Building Material | 1k-5k Employees | Public | 50 years old | Gurgaon/Gurugram +238 more,4.2,"Salary & Benefits, Company Culture, Job Security",,2.4k,8.1k,173,--,260,3
